id,title,channel_id,channel,uploader,duration,view_count,like_count,comment_count,channel_follower_count,upload_date,timestamp,webpage_url,categories,tags,language,resolution,width,height,fps,aspect_ratio,available_manual_subtitle_languages,available_auto_caption_languages,downloaded_subtitle_languages,downloaded_subtitle_file_count,metadata_status,error
VID00000001,Demo video 001,UCDEMOCHANNEL00000154,Demo channel 154,Demo channel 154,277,2234,67,8,1101,20200102,1577923200,https://www.youtube.com/watch?v=VID00000001,"[""Demo category""]","[""demo tag 001""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000002,Demo video 002,UCDEMOCHANNEL00000092,Demo channel 092,Demo channel 092,314,3468,84,11,1202,20200103,1578009600,https://www.youtube.com/watch?v=VID00000002,"[""Demo category""]","[""demo tag 002""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000003,Demo video 003,UCDEMOCHANNEL00000035,Demo channel 035,Demo channel 035,351,4702,101,14,1303,20200104,1578096000,https://www.youtube.com/watch?v=VID00000003,"[""Demo category""]","[""demo tag 003""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000004,Demo video 004,UCDEMOCHANNEL00000112,Demo channel 112,Demo channel 112,388,5936,118,17,1404,20200105,1578182400,https://www.youtube.com/watch?v=VID00000004,"[""Demo category""]","[""demo tag 004""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000005,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000006,Demo video 006,UCDEMOCHANNEL00000058,Demo channel 058,Demo channel 058,462,8404,152,23,1606,20200107,1578355200,https://www.youtube.com/watch?v=VID00000006,"[""Demo category""]","[""demo tag 006""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000007,Demo video 007,UCDEMOCHANNEL00000163,Demo channel 163,Demo channel 163,499,9638,169,26,1707,20200108,1578441600,https://www.youtube.com/watch?v=VID00000007,"[""Demo category""]","[""demo tag 007""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000009,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000009: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
VID00000010,Demo video 010,UCDEMOCHANNEL00000164,Demo channel 164,Demo channel 164,573,12106,203,32,1909,20200110,1578614400,https://www.youtube.com/watch?v=VID00000010,"[""Demo category""]","[""demo tag 009""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000011,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000011: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VID00000012,Demo video 012,UCDEMOCHANNEL00000056,Demo channel 056,Demo channel 056,647,14574,237,38,2111,20200112,1578787200,https://www.youtube.com/watch?v=VID00000012,"[""Demo category""]","[""demo tag 011""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000013,Demo video 013,UCDEMOCHANNEL00000097,Demo channel 097,Demo channel 097,684,15808,254,41,2212,20200113,1578873600,https://www.youtube.com/watch?v=VID00000013,"[""Demo category""]","[""demo tag 012""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000014,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: [youtube] VID00000014: This video has been removed for violating YouTube's Community Guidelines
VID00000015,,,,,,,,,,,,,,,,,,,,,,,,0,error,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests
VID00000016,Demo video 016,UCDEMOCHANNEL00000099,Demo channel 099,Demo channel 099,45,19510,305,50,2515,20200116,1579132800,https://www.youtube.com/watch?v=VID00000016,"[""Demo category""]","[""demo tag 015""]",en,1080x1920,1080,1920,30,0.56,en,en,en,1,ok,
VID00000017,Demo video 017,UCDEMOCHANNEL00000119,Demo channel 119,Demo channel 119,832,20744,322,53,2616,20200117,1579219200,https://www.youtube.com/watch?v=VID00000017,"[""Demo category""]","[""demo tag 016""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000018,Demo video 018,UCDEMOCHANNEL00000023,Demo channel 023,Demo channel 023,47,21978,339,56,2717,20200118,1579305600,https://www.youtube.com/watch?v=VID00000018,"[""Demo category""]","[""demo tag 017""]",en,1080x1920,1080,1920,30,0.56,en,en,en,1,ok,
VID00000019,Demo video 019,UCDEMOCHANNEL00000017,Demo channel 017,Demo channel 017,906,23212,356,59,2818,20200119,1579392000,https://www.youtube.com/watch?v=VID00000019,"[""Demo category""]","[""demo tag 018""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000020,Demo video 020,UCDEMOCHANNEL00000165,Demo channel 165,Demo channel 165,49,24446,373,62,2919,20200120,1579478400,https://www.youtube.com/watch?v=VID00000020,"[""Demo category""]","[""demo tag 019""]",en,1080x1920,1080,1920,30,0.56,en,en,en,1,ok,
VID00000021,Demo video 021,UCDEMOCHANNEL00000074,Demo channel 074,Demo channel 074,980,25680,390,65,3020,20200121,1579564800,https://www.youtube.com/watch?v=VID00000021,"[""Demo category""]","[""demo tag 020""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
VID00000022,Demo video 022,UCDEMOCHANNEL00000041,Demo channel 041,Demo channel 041,1017,26914,407,68,3121,20200122,1579651200,https://www.youtube.com/watch?v=VID00000022,"[""Demo category""]","[""demo tag 021""]",en,1920x1080,1920,1080,30,1.78,en,en,en,1,ok,
