Channel Id,Channel Url,Channel Title
UCDEMOCHANNEL00000142,http://www.youtube.com/channel/UCDEMOCHANNEL00000142,Demo channel 142
UCDEMOCHANNEL00000172,http://www.youtube.com/channel/UCDEMOCHANNEL00000172,Demo channel 172
UCDEMOCHANNEL00000161,http://www.youtube.com/channel/UCDEMOCHANNEL00000161,Demo channel 161
UCDEMOCHANNEL00000041,http://www.youtube.com/channel/UCDEMOCHANNEL00000041,Demo channel 041
UCDEMOCHANNEL00000164,http://www.youtube.com/channel/UCDEMOCHANNEL00000164,Demo channel 164
UCDEMOCHANNEL00000109,http://www.youtube.com/channel/UCDEMOCHANNEL00000109,Demo channel 109
UCDEMOCHANNEL00000108,http://www.youtube.com/channel/UCDEMOCHANNEL00000108,Demo channel 108
UCDEMOCHANNEL00000079,http://www.youtube.com/channel/UCDEMOCHANNEL00000079,Demo channel 079
UCDEMOCHANNEL00000092,http://www.youtube.com/channel/UCDEMOCHANNEL00000092,Demo channel 092
UCDEMOCHANNEL00000093,http://www.youtube.com/channel/UCDEMOCHANNEL00000093,Demo channel 093
