Participant ID,time,header,watch_row_type,watched_title,title_without_watch_prefix,clean_title,watch_action_prefix,watch_action_language_hint,prefix_removed,url,video_id,has_valid_video_id,details_missing,has_google_ads_marker,is_youtube_music,channel_title,channel_url,channel_id,details
Alma,2024-11-19 07:03:16.172000+00:00,YouTube,ad_watch,Watched Demo video 280,Demo video 280,Demo video 280,Watched,English,True,https://www.youtube.com/watch?v=VID00000280,VID00000280,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-11-18 13:57:40.904000+00:00,YouTube,ad_watch,Watched Demo video 209,Demo video 209,Demo video 209,Watched,English,True,https://www.youtube.com/watch?v=VID00000209,VID00000209,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-10-30 21:54:36.016000+00:00,YouTube,ad_watch,Watched Demo video 302,Demo video 302,Demo video 302,Watched,English,True,https://www.youtube.com/watch?v=VID00000302,VID00000302,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-08-27 11:34:16.527000+00:00,YouTube,ad_watch,Watched Demo video 103,Demo video 103,Demo video 103,Watched,English,True,https://www.youtube.com/watch?v=VID00000103,VID00000103,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-08-13 13:44:28.283000+00:00,YouTube,ad_watch,Watched Demo video 208,Demo video 208,Demo video 208,Watched,English,True,https://www.youtube.com/watch?v=VID00000208,VID00000208,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-08-06 09:46:11.431000+00:00,YouTube,ad_watch,Watched Demo video 069,Demo video 069,Demo video 069,Watched,English,True,https://www.youtube.com/watch?v=VID00000069,VID00000069,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2024-02-20 14:46:16.761000+00:00,YouTube,ad_watch,Watched Demo video 178,Demo video 178,Demo video 178,Watched,English,True,https://www.youtube.com/watch?v=VID00000178,VID00000178,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2023-11-23 16:32:14.635000+00:00,YouTube,ad_watch,Watched Demo video 120,Demo video 120,Demo video 120,Watched,English,True,https://www.youtube.com/watch?v=VID00000120,VID00000120,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2023-11-20 20:55:00.742000+00:00,YouTube,ad_watch,Watched Demo video 054,Demo video 054,Demo video 054,Watched,English,True,https://www.youtube.com/watch?v=VID00000054,VID00000054,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Alma,2022-10-24 12:27:09.178000+00:00,YouTube,ad_watch,Watched Demo video 025,Demo video 025,Demo video 025,Watched,English,True,https://www.youtube.com/watch?v=VID00000025,VID00000025,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2024-11-04 07:56:32.121000+00:00,YouTube,ad_watch,Watched Demo video 118,Demo video 118,Demo video 118,Watched,English,True,https://www.youtube.com/watch?v=VID00000118,VID00000118,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2024-10-30 21:42:44.096000+00:00,YouTube,ad_watch,Watched Demo video 098,Demo video 098,Demo video 098,Watched,English,True,https://www.youtube.com/watch?v=VID00000098,VID00000098,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2024-05-24 06:40:04.065000+00:00,YouTube,ad_watch,Watched Demo video 140,Demo video 140,Demo video 140,Watched,English,True,https://www.youtube.com/watch?v=VID00000140,VID00000140,True,False,True,False,,,,[{'name': 'From Google Ads'}]
Beata,2024-04-11 05:35:17.353000+00:00,YouTube,ad_watch,Watched Demo video 047,Demo video 047,Demo video 047,Watched,English,True,https://www.youtube.com/watch?v=VID00000047,VID00000047,True,False,True,False,,,,[{'name': 'From Google Ads'}]
