video_id,raw_error,generalized_error_msg,category,critical,assessment_label,is_problematic
VID00000001,,No error,No error,,No error,False
VID00000002,,No error,No error,,No error,False
VID00000003,,No error,No error,,No error,False
VID00000004,,No error,No error,,No error,False
VID00000005,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000006,,No error,No error,,No error,False
VID00000007,,No error,No error,,No error,False
VID00000009,ERROR: [youtube] VID00000009: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,removed - account terminated,Y,Problematic,True
VID00000010,,No error,No error,,No error,False
VID00000011,ERROR: [youtube] VID00000011: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,access management,N,Not problematic,False
VID00000012,,No error,No error,,No error,False
VID00000013,,No error,No error,,No error,False
VID00000014,ERROR: [youtube] VID00000014: This video has been removed for violating YouTube's Community Guidelines,This video has been removed for violating YouTube's Community Guidelines,removed - community guidelines violated,Y,Problematic,True
VID00000015,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000016,,No error,No error,,No error,False
VID00000017,,No error,No error,,No error,False
VID00000018,,No error,No error,,No error,False
VID00000019,,No error,No error,,No error,False
VID00000020,,No error,No error,,No error,False
VID00000021,,No error,No error,,No error,False
VID00000022,,No error,No error,,No error,False
VID00000023,,No error,No error,,No error,False
VID00000024,,No error,No error,,No error,False
VID00000027,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000028,ERROR: [youtube] VID00000028: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,removed - account terminated,Y,Problematic,True
VID00000029,ERROR: [youtube] VID00000029: Video unavailable. This video is no longer available due to a copyright claim by Hueber Verlag GmbH & Co. KG,Video unavailable. This video is no longer available due to a copyright claim,removed - copyright claim,Platform external legal action,Removed due to external legal rights,False
VID00000030,,No error,No error,,No error,False
VID00000031,,No error,No error,,No error,False
VID00000032,,No error,No error,,No error,False
VID00000033,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000035,ERROR: [youtube] VID00000035: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,access management,N,Not problematic,False
VID00000036,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000037,,No error,No error,,No error,False
VID00000038,,No error,No error,,No error,False
VID00000040,,No error,No error,,No error,False
VID00000041,ERROR: [youtube] VID00000041: Video unavailable. This video is no longer available due to a copyright claim by Vipassana Research Institute,Video unavailable. This video is no longer available due to a copyright claim,removed - copyright claim,Platform external legal action,Removed due to external legal rights,False
VID00000042,,No error,No error,,No error,False
VID00000043,,No error,No error,,No error,False
VID00000044,,No error,No error,,No error,False
VID00000046,,No error,No error,,No error,False
VID00000048,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000049,,No error,No error,,No error,False
VID00000050,,No error,No error,,No error,False
VID00000051,,No error,No error,,No error,False
VID00000052,,No error,No error,,No error,False
VID00000053,"ERROR: [youtube] VID00000053: Video unavailable. This video contains content from WMG, who has blocked it in your country on copyright grounds",Video unavailable. This video contains content from copyright owner(s) who have blocked it on copyright grounds,removed - copyright claim,Platform external legal action,Removed due to external legal rights,False
VID00000055,,No error,No error,,No error,False
VID00000056,,No error,No error,,No error,False
VID00000057,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000059,,No error,No error,,No error,False
VID00000060,,No error,No error,,No error,False
VID00000062,,No error,No error,,No error,False
VID00000063,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000065,ERROR: [youtube] VID00000065: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,removed - account terminated,Y,Problematic,True
VID00000067,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000070,,No error,No error,,No error,False
VID00000072,,No error,No error,,No error,False
VID00000073,,No error,No error,,No error,False
VID00000074,,No error,No error,,No error,False
VID00000075,,No error,No error,,No error,False
VID00000076,,No error,No error,,No error,False
VID00000077,,No error,No error,,No error,False
VID00000078,ERROR: [youtube] VID00000078: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,removed - account terminated,Y,Problematic,True
VID00000079,,No error,No error,,No error,False
VID00000080,,No error,No error,,No error,False
VID00000082,ERROR: [youtube] VID00000082: Video unavailable,Video unavailable,unavailable,N,Not problematic,False
VID00000083,,No error,No error,,No error,False
VID00000084,"ERROR: [youtube] VID00000084: Video unavailable. This video contains content from WMG, who has blocked it on copyright grounds",Video unavailable. This video contains content from copyright owner(s) who have blocked it on copyright grounds,removed - copyright claim,Platform external legal action,Removed due to external legal rights,False
VID00000085,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000086,ERROR: [youtube] VID00000086: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,access management,N,Not problematic,False
VID00000087,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000088,,No error,No error,,No error,False
VID00000089,,No error,No error,,No error,False
VID00000090,ERROR: [youtube] VID00000090: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,access management,N,Not problematic,False
VID00000091,,No error,No error,,No error,False
VID00000092,,No error,No error,,No error,False
VID00000093,,No error,No error,,No error,False
VID00000094,,No error,No error,,No error,False
VID00000095,,No error,No error,,No error,False
VID00000096,ERROR: [youtube] VID00000096: This video has been removed for violating YouTube's Community Guidelines,This video has been removed for violating YouTube's Community Guidelines,removed - community guidelines violated,Y,Problematic,True
VID00000097,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,ERROR: Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests,access management,N,Not problematic,False
VID00000099,,No error,No error,,No error,False
VID00000100,,No error,No error,,No error,False
VID00000101,,No error,No error,,No error,False
VID00000102,,No error,No error,,No error,False
VID00000104,,No error,No error,,No error,False
VID00000105,,No error,No error,,No error,False
VID00000106,,No error,No error,,No error,False
VID00000108,ERROR: [youtube] VID00000108: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.,removed - account terminated,Y,Problematic,True
VID00000110,,No error,No error,,No error,False
VID00000111,,No error,No error,,No error,False
