Participant ID,time,header,search_title,search_action,is_known_search_action,is_search_query,query_from_title,query_from_url,url,details,description
Alma,2025-03-24 08:04:25.697000+00:00,YouTube,Searched for demo search query 003,Searched,True,True,demo search query 003,demo search query 003,https://www.youtube.com/results?search_query=demo+search+query+003,,
Alma,2025-03-24 08:01:25.697000+00:00,YouTube,Searched for demo search query 045,Searched,True,True,demo search query 045,demo search query 045,https://www.youtube.com/results?search_query=demo+search+query+045,,
Alma,2025-03-24 07:58:25.697000+00:00,YouTube,Searched for demo search query 071,Searched,True,True,demo search query 071,demo search query 071,https://www.youtube.com/results?search_query=demo+search+query+071,,
Alma,2025-03-24 07:55:25.697000+00:00,YouTube,Searched for demo search query 081,Searched,True,True,demo search query 081,demo search query 081,https://www.youtube.com/results?search_query=demo+search+query+081,,
Alma,2025-03-24 07:52:25.697000+00:00,YouTube,Searched for demo search query 056,Searched,True,True,demo search query 056,demo search query 056,https://www.youtube.com/results?search_query=demo+search+query+056,,
Alma,2025-03-24 07:49:25.697000+00:00,YouTube,Searched for demo search query 087,Searched,True,True,demo search query 087,demo search query 087,https://www.youtube.com/results?search_query=demo+search+query+087,,
Alma,2025-03-24 07:46:25.697000+00:00,YouTube,Searched for demo search query 035,Searched,True,True,demo search query 035,demo search query 035,https://www.youtube.com/results?search_query=demo+search+query+035,,
Alma,2025-03-24 07:43:25.697000+00:00,YouTube,Searched for demo search query 052,Searched,True,True,demo search query 052,demo search query 052,https://www.youtube.com/results?search_query=demo+search+query+052,,
Alma,2025-03-24 07:40:25.697000+00:00,YouTube,Searched for demo search query 008,Searched,True,True,demo search query 008,demo search query 008,https://www.youtube.com/results?search_query=demo+search+query+008,,
Alma,2025-03-24 07:37:25.697000+00:00,YouTube,Searched for demo search query 084,Searched,True,True,demo search query 084,demo search query 084,https://www.youtube.com/results?search_query=demo+search+query+084,,
Alma,2025-03-13 13:53:43.738000+00:00,YouTube,Searched for demo search query 038,Searched,True,True,demo search query 038,demo search query 038,https://www.youtube.com/results?search_query=demo+search+query+038,,
Alma,2024-11-18 21:16:06.257000+00:00,YouTube,Watched Demo video 310,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000310,[{'name': 'From Google Ads'}],Demo search-history row
Alma,2024-10-29 10:06:39.614000+00:00,YouTube,Watched Demo video 281,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000281,[{'name': 'From Google Ads'}],Demo search-history row
Alma,2024-09-13 13:52:00.470000+00:00,YouTube,Searched for demo search query 053,Searched,True,True,demo search query 053,demo search query 053,https://www.youtube.com/results?search_query=demo+search+query+053,,
Alma,2024-08-12 08:40:52.079000+00:00,YouTube,Watched Demo video 034,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000034,[{'name': 'From Google Ads'}],Demo search-history row
Alma,2024-02-23 18:05:29.433000+00:00,YouTube,Searched for demo search query 005,Searched,True,True,demo search query 005,demo search query 005,https://www.youtube.com/results?search_query=demo+search+query+005,,
Alma,2024-02-23 10:23:28.727000+00:00,YouTube,Watched Demo video 071,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000071,[{'name': 'From Google Ads'}],Demo search-history row
Alma,2023-07-11 13:24:51.059000+00:00,YouTube,Watched Demo video 039,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000039,[{'name': 'From Google Ads'}],Demo search-history row
Alma,2023-07-04 08:19:38.222000+00:00,YouTube,Watched Demo video 171,Watched,False,False,,,https://www.youtube.com/watch?v=VID00000171,[{'name': 'From Google Ads'}],Demo search-history row
