Participant ID,subscribed_channel_id,subscribed_channel_url,subscribed_channel_title
Alma,UCDEMOCHANNEL00000051,http://www.youtube.com/channel/UCDEMOCHANNEL00000051,Demo channel 051
Alma,UCDEMOCHANNEL00000067,http://www.youtube.com/channel/UCDEMOCHANNEL00000067,Demo channel 067
Alma,UCDEMOCHANNEL00000081,http://www.youtube.com/channel/UCDEMOCHANNEL00000081,Demo channel 081
Alma,UCDEMOCHANNEL00000027,http://www.youtube.com/channel/UCDEMOCHANNEL00000027,Demo channel 027
Alma,UCDEMOCHANNEL00000137,http://www.youtube.com/channel/UCDEMOCHANNEL00000137,Demo channel 137
Alma,UCDEMOCHANNEL00000105,http://www.youtube.com/channel/UCDEMOCHANNEL00000105,Demo channel 105
Alma,UCDEMOCHANNEL00000007,http://www.youtube.com/channel/UCDEMOCHANNEL00000007,Demo channel 007
Alma,UCDEMOCHANNEL00000162,http://www.youtube.com/channel/UCDEMOCHANNEL00000162,Demo channel 162
Alma,UCDEMOCHANNEL00000023,http://www.youtube.com/channel/UCDEMOCHANNEL00000023,Demo channel 023
Alma,UCDEMOCHANNEL00000171,http://www.youtube.com/channel/UCDEMOCHANNEL00000171,Demo channel 171
Beata,UCDEMOCHANNEL00000051,http://www.youtube.com/channel/UCDEMOCHANNEL00000051,Demo channel 051
Beata,UCDEMOCHANNEL00000050,http://www.youtube.com/channel/UCDEMOCHANNEL00000050,Demo channel 050
Beata,UCDEMOCHANNEL00000155,http://www.youtube.com/channel/UCDEMOCHANNEL00000155,Demo channel 155
Beata,UCDEMOCHANNEL00000123,http://www.youtube.com/channel/UCDEMOCHANNEL00000123,Demo channel 123
Beata,UCDEMOCHANNEL00000046,http://www.youtube.com/channel/UCDEMOCHANNEL00000046,Demo channel 046
Beata,UCDEMOCHANNEL00000006,http://www.youtube.com/channel/UCDEMOCHANNEL00000006,Demo channel 006
Beata,UCDEMOCHANNEL00000125,http://www.youtube.com/channel/UCDEMOCHANNEL00000125,Demo channel 125
Beata,UCDEMOCHANNEL00000008,http://www.youtube.com/channel/UCDEMOCHANNEL00000008,Demo channel 008
Beata,UCDEMOCHANNEL00000159,http://www.youtube.com/channel/UCDEMOCHANNEL00000159,Demo channel 159
Beata,UCDEMOCHANNEL00000080,http://www.youtube.com/channel/UCDEMOCHANNEL00000080,Demo channel 080
Carmen,UCDEMOCHANNEL00000142,http://www.youtube.com/channel/UCDEMOCHANNEL00000142,Demo channel 142
Carmen,UCDEMOCHANNEL00000172,http://www.youtube.com/channel/UCDEMOCHANNEL00000172,Demo channel 172
Carmen,UCDEMOCHANNEL00000161,http://www.youtube.com/channel/UCDEMOCHANNEL00000161,Demo channel 161
Carmen,UCDEMOCHANNEL00000041,http://www.youtube.com/channel/UCDEMOCHANNEL00000041,Demo channel 041
Carmen,UCDEMOCHANNEL00000164,http://www.youtube.com/channel/UCDEMOCHANNEL00000164,Demo channel 164
Carmen,UCDEMOCHANNEL00000109,http://www.youtube.com/channel/UCDEMOCHANNEL00000109,Demo channel 109
Carmen,UCDEMOCHANNEL00000108,http://www.youtube.com/channel/UCDEMOCHANNEL00000108,Demo channel 108
Carmen,UCDEMOCHANNEL00000079,http://www.youtube.com/channel/UCDEMOCHANNEL00000079,Demo channel 079
Carmen,UCDEMOCHANNEL00000092,http://www.youtube.com/channel/UCDEMOCHANNEL00000092,Demo channel 092
Carmen,UCDEMOCHANNEL00000093,http://www.youtube.com/channel/UCDEMOCHANNEL00000093,Demo channel 093
