Participant ID,time,watched_title,clean_title,watch_action_prefix,watch_action_language_hint,url,video_id,channel_title,channel_url,channel_id
Alma,2025-03-24 07:32:25.697000+00:00,Watched Demo video 072,Demo video 072,Watched,English,https://www.youtube.com/watch?v=VID00000072,VID00000072,Demo channel 051,https://www.youtube.com/channel/UCDEMOCHANNEL00000051,UCDEMOCHANNEL00000051
Alma,2025-03-13 13:53:45.738000+00:00,Watched Demo video 213,Demo video 213,Watched,English,https://www.youtube.com/watch?v=VID00000213,VID00000213,Demo channel 067,https://www.youtube.com/channel/UCDEMOCHANNEL00000067,UCDEMOCHANNEL00000067
Alma,2025-02-04 21:01:38.803000+00:00,Watched Demo video 051,Demo video 051,Watched,English,https://www.youtube.com/watch?v=VID00000051,VID00000051,Demo channel 081,https://www.youtube.com/channel/UCDEMOCHANNEL00000081,UCDEMOCHANNEL00000081
Alma,2025-01-30 11:00:54.583000+00:00,Watched Demo video 122,Demo video 122,Watched,English,https://www.youtube.com/watch?v=VID00000122,VID00000122,Demo channel 027,https://www.youtube.com/channel/UCDEMOCHANNEL00000027,UCDEMOCHANNEL00000027
Alma,2024-12-13 07:07:08.189000+00:00,Watched Demo video 157,Demo video 157,Watched,English,https://www.youtube.com/watch?v=VID00000157,VID00000157,Demo channel 137,https://www.youtube.com/channel/UCDEMOCHANNEL00000137,UCDEMOCHANNEL00000137
Alma,2024-11-18 21:16:12.824000+00:00,Watched Demo video 264,Demo video 264,Watched,English,https://www.youtube.com/watch?v=VID00000264,VID00000264,Demo channel 105,https://www.youtube.com/channel/UCDEMOCHANNEL00000105,UCDEMOCHANNEL00000105
Alma,2024-11-18 11:53:00.638000+00:00,Watched Demo video 233,Demo video 233,Watched,English,https://www.youtube.com/watch?v=VID00000233,VID00000233,Demo channel 007,https://www.youtube.com/channel/UCDEMOCHANNEL00000007,UCDEMOCHANNEL00000007
Alma,2024-11-18 11:39:28.361000+00:00,Watched Demo video 110,Demo video 110,Watched,English,https://www.youtube.com/watch?v=VID00000110,VID00000110,Demo channel 007,https://www.youtube.com/channel/UCDEMOCHANNEL00000007,UCDEMOCHANNEL00000007
Alma,2024-11-10 11:16:26.506000+00:00,Watched Demo video 270,Demo video 270,Watched,English,https://www.youtube.com/watch?v=VID00000270,VID00000270,Demo channel 162,https://www.youtube.com/channel/UCDEMOCHANNEL00000162,UCDEMOCHANNEL00000162
Alma,2024-10-30 21:54:50.417000+00:00,Watched Demo video 018,Demo video 018,Watched,English,https://www.youtube.com/watch?v=VID00000018,VID00000018,Demo channel 023,https://www.youtube.com/channel/UCDEMOCHANNEL00000023,UCDEMOCHANNEL00000023
Alma,2024-09-24 09:26:02.938000+00:00,Watched Demo video 150,Demo video 150,Watched,English,https://www.youtube.com/watch?v=VID00000150,VID00000150,Demo channel 171,https://www.youtube.com/channel/UCDEMOCHANNEL00000171,UCDEMOCHANNEL00000171
Alma,2024-09-13 13:52:08.470000+00:00,Watched Demo video 020,Demo video 020,Watched,English,https://www.youtube.com/watch?v=VID00000020,VID00000020,Demo channel 165,https://www.youtube.com/channel/UCDEMOCHANNEL00000165,UCDEMOCHANNEL00000165
Alma,2024-08-15 14:00:23.414000+00:00,Watched Demo video 191,Demo video 191,Watched,English,https://www.youtube.com/watch?v=VID00000191,VID00000191,Demo channel 109,https://www.youtube.com/channel/UCDEMOCHANNEL00000109,UCDEMOCHANNEL00000109
Alma,2024-06-14 10:10:38.841000+00:00,Watched Demo video 059,Demo video 059,Watched,English,https://www.youtube.com/watch?v=VID00000059,VID00000059,Demo channel 015,https://www.youtube.com/channel/UCDEMOCHANNEL00000015,UCDEMOCHANNEL00000015
Alma,2024-04-26 21:14:33.220000+00:00,Watched Demo video 187,Demo video 187,Watched,English,https://www.youtube.com/watch?v=VID00000187,VID00000187,Demo channel 057,https://www.youtube.com/channel/UCDEMOCHANNEL00000057,UCDEMOCHANNEL00000057
Alma,2024-04-26 21:12:16.231000+00:00,Watched Demo video 059,Demo video 059,Watched,English,https://www.youtube.com/watch?v=VID00000059,VID00000059,Demo channel 015,https://www.youtube.com/channel/UCDEMOCHANNEL00000015,UCDEMOCHANNEL00000015
Alma,2024-04-24 14:19:15.637000+00:00,Watched Demo video 185,Demo video 185,Watched,English,https://www.youtube.com/watch?v=VID00000185,VID00000185,Demo channel 134,https://www.youtube.com/channel/UCDEMOCHANNEL00000134,UCDEMOCHANNEL00000134
Alma,2024-04-15 08:07:47.022000+00:00,Watched Demo video 202,Demo video 202,Watched,English,https://www.youtube.com/watch?v=VID00000202,VID00000202,Demo channel 042,https://www.youtube.com/channel/UCDEMOCHANNEL00000042,UCDEMOCHANNEL00000042
Alma,2024-02-23 18:05:32.433000+00:00,Watched Demo video 261,Demo video 261,Watched,English,https://www.youtube.com/watch?v=VID00000261,VID00000261,Demo channel 030,https://www.youtube.com/channel/UCDEMOCHANNEL00000030,UCDEMOCHANNEL00000030
Alma,2023-12-05 10:42:22.434000+00:00,Watched Demo video 199,Demo video 199,Watched,English,https://www.youtube.com/watch?v=VID00000199,VID00000199,Demo channel 039,https://www.youtube.com/channel/UCDEMOCHANNEL00000039,UCDEMOCHANNEL00000039
Alma,2023-09-15 12:06:16.217000+00:00,Watched Demo video 226,Demo video 226,Watched,English,https://www.youtube.com/watch?v=VID00000226,VID00000226,Demo channel 171,https://www.youtube.com/channel/UCDEMOCHANNEL00000171,UCDEMOCHANNEL00000171
Alma,2023-06-09 07:44:09.514000+00:00,Watched Demo video 138,Demo video 138,Watched,English,https://www.youtube.com/watch?v=VID00000138,VID00000138,Demo channel 072,https://www.youtube.com/channel/UCDEMOCHANNEL00000072,UCDEMOCHANNEL00000072
Alma,2023-04-04 06:35:44.595000+00:00,Watched Demo video 297,Demo video 297,Watched,English,https://www.youtube.com/watch?v=VID00000297,VID00000297,Demo channel 069,https://www.youtube.com/channel/UCDEMOCHANNEL00000069,UCDEMOCHANNEL00000069
Alma,2022-10-28 11:41:49.175000+00:00,Watched Demo video 237,Demo video 237,Watched,English,https://www.youtube.com/watch?v=VID00000237,VID00000237,Demo channel 036,https://www.youtube.com/channel/UCDEMOCHANNEL00000036,UCDEMOCHANNEL00000036
Alma,2022-10-26 16:23:14.661000+00:00,Watched Demo video 117,Demo video 117,Watched,English,https://www.youtube.com/watch?v=VID00000117,VID00000117,Demo channel 093,https://www.youtube.com/channel/UCDEMOCHANNEL00000093,UCDEMOCHANNEL00000093
Alma,2022-10-24 08:12:22.493000+00:00,Watched Demo video 196,Demo video 196,Watched,English,https://www.youtube.com/watch?v=VID00000196,VID00000196,Demo channel 037,https://www.youtube.com/channel/UCDEMOCHANNEL00000037,UCDEMOCHANNEL00000037
Alma,2022-06-17 14:43:10.824000+00:00,Watched Demo video 207,Demo video 207,Watched,English,https://www.youtube.com/watch?v=VID00000207,VID00000207,Demo channel 143,https://www.youtube.com/channel/UCDEMOCHANNEL00000143,UCDEMOCHANNEL00000143
Alma,2022-06-17 14:41:36.473000+00:00,Watched Demo video 195,Demo video 195,Watched,English,https://www.youtube.com/watch?v=VID00000195,VID00000195,Demo channel 116,https://www.youtube.com/channel/UCDEMOCHANNEL00000116,UCDEMOCHANNEL00000116
Alma,2022-06-03 09:43:18.227000+00:00,Watched Demo video 014,Demo video 014,Watched,English,https://www.youtube.com/watch?v=VID00000014,VID00000014,,,
Alma,2022-03-17 12:53:47.338000+00:00,Watched Demo video 278,Demo video 278,Watched,English,https://www.youtube.com/watch?v=VID00000278,VID00000278,Demo channel 044,https://www.youtube.com/channel/UCDEMOCHANNEL00000044,UCDEMOCHANNEL00000044
Alma,2020-09-11 13:45:01.848000+00:00,Watched Demo video 085,Demo video 085,Watched,English,https://www.youtube.com/watch?v=VID00000085,VID00000085,Demo channel 068,https://www.youtube.com/channel/UCDEMOCHANNEL00000068,UCDEMOCHANNEL00000068
Alma,2020-09-07 11:26:03.954000+00:00,Watched Demo video 247,Demo video 247,Watched,English,https://www.youtube.com/watch?v=VID00000247,VID00000247,Demo channel 113,https://www.youtube.com/channel/UCDEMOCHANNEL00000113,UCDEMOCHANNEL00000113
Alma,2020-04-17 08:37:02.714000+00:00,Watched Demo video 144,Demo video 144,Watched,English,https://www.youtube.com/watch?v=VID00000144,VID00000144,Demo channel 011,https://www.youtube.com/channel/UCDEMOCHANNEL00000011,UCDEMOCHANNEL00000011
Alma,2020-03-23 11:08:01.776000+00:00,Watched Demo video 162,Demo video 162,Watched,English,https://www.youtube.com/watch?v=VID00000162,VID00000162,Demo channel 016,https://www.youtube.com/channel/UCDEMOCHANNEL00000016,UCDEMOCHANNEL00000016
Alma,2020-03-04 09:27:07.619000+00:00,Watched Demo video 052,Demo video 052,Watched,English,https://www.youtube.com/watch?v=VID00000052,VID00000052,Demo channel 091,https://www.youtube.com/channel/UCDEMOCHANNEL00000091,UCDEMOCHANNEL00000091
Alma,2020-03-03 19:59:09.463000+00:00,Watched Demo video 289,Demo video 289,Watched,English,https://www.youtube.com/watch?v=VID00000289,VID00000289,Demo channel 124,https://www.youtube.com/channel/UCDEMOCHANNEL00000124,UCDEMOCHANNEL00000124
Alma,2019-12-07 21:05:22.273000+00:00,Watched Demo video 015,Demo video 015,Watched,English,https://www.youtube.com/watch?v=VID00000015,VID00000015,Demo channel 140,https://www.youtube.com/channel/UCDEMOCHANNEL00000140,UCDEMOCHANNEL00000140
Alma,2019-07-31 09:08:37.454000+00:00,Watched Demo video 193,Demo video 193,Watched,English,https://www.youtube.com/watch?v=VID00000193,VID00000193,Demo channel 053,https://www.youtube.com/channel/UCDEMOCHANNEL00000053,UCDEMOCHANNEL00000053
Alma,2019-05-25 08:26:07.314000+00:00,Watched Demo video 083,Demo video 083,Watched,English,https://www.youtube.com/watch?v=VID00000083,VID00000083,Demo channel 018,https://www.youtube.com/channel/UCDEMOCHANNEL00000018,UCDEMOCHANNEL00000018
Alma,2019-03-30 11:40:45.716000+00:00,Watched Demo video 239,Demo video 239,Watched,English,https://www.youtube.com/watch?v=VID00000239,VID00000239,,,
Alma,2019-03-27 21:19:57.977000+00:00,Watched Demo video 184,Demo video 184,Watched,English,https://www.youtube.com/watch?v=VID00000184,VID00000184,Demo channel 148,https://www.youtube.com/channel/UCDEMOCHANNEL00000148,UCDEMOCHANNEL00000148
Alma,2019-03-27 21:14:48.427000+00:00,Watched Demo video 201,Demo video 201,Watched,English,https://www.youtube.com/watch?v=VID00000201,VID00000201,Demo channel 181,https://www.youtube.com/channel/UCDEMOCHANNEL00000181,UCDEMOCHANNEL00000181
Alma,2019-01-26 02:20:46.805000+00:00,Watched Demo video 151,Demo video 151,Watched,English,https://www.youtube.com/watch?v=VID00000151,VID00000151,Demo channel 020,https://www.youtube.com/channel/UCDEMOCHANNEL00000020,UCDEMOCHANNEL00000020
Alma,2018-09-07 08:44:49.856000+00:00,Watched Demo video 288,Demo video 288,Watched,English,https://www.youtube.com/watch?v=VID00000288,VID00000288,Demo channel 174,https://www.youtube.com/channel/UCDEMOCHANNEL00000174,UCDEMOCHANNEL00000174
Alma,2018-02-26 19:31:21.576000+00:00,Watched Demo video 230,Demo video 230,Watched,English,https://www.youtube.com/watch?v=VID00000230,VID00000230,Demo channel 160,https://www.youtube.com/channel/UCDEMOCHANNEL00000160,UCDEMOCHANNEL00000160
Alma,2018-01-25 17:37:25.523000+00:00,Watched Demo video 048,Demo video 048,Watched,English,https://www.youtube.com/watch?v=VID00000048,VID00000048,Demo channel 154,https://www.youtube.com/channel/UCDEMOCHANNEL00000154,UCDEMOCHANNEL00000154
Alma,2017-11-24 11:35:44.865000+00:00,Watched Demo video 003,Demo video 003,Watched,English,https://www.youtube.com/watch?v=VID00000003,VID00000003,Demo channel 035,https://www.youtube.com/channel/UCDEMOCHANNEL00000035,UCDEMOCHANNEL00000035
Alma,2017-06-02 07:28:15.538000+00:00,Watched Demo video 078,Demo video 078,Watched,English,https://www.youtube.com/watch?v=VID00000078,VID00000078,,,
Alma,2016-04-20 08:52:18.592000+00:00,Watched Demo video 077,Demo video 077,Watched,English,https://www.youtube.com/watch?v=VID00000077,VID00000077,Demo channel 138,https://www.youtube.com/channel/UCDEMOCHANNEL00000138,UCDEMOCHANNEL00000138
